               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.028541,            0.014706,           0.0045137,             0.66059,             0.66948,             0.63137,             0.24292,            0.051994,            0.010011,            0.050238,           0.0033548,           0.0033548,           0.0033548
                  75,            0.029477,            0.014149,           0.0043487,             0.65385,             0.61101,             0.61705,             0.27291,            0.048914,            0.010046,            0.042204,           0.0032618,           0.0032618,           0.0032618
                  76,            0.029414,            0.014136,           0.0044662,             0.55437,              0.5929,             0.57265,             0.26509,            0.049642,            0.010762,            0.036018,           0.0031716,           0.0031716,           0.0031716
                  77,            0.028939,            0.014676,           0.0034762,             0.71191,             0.48723,             0.57337,             0.29968,             0.04731,            0.010671,            0.036785,           0.0030841,           0.0030841,           0.0030841
                  78,             0.02973,            0.014085,           0.0036442,             0.69207,             0.50413,             0.55748,             0.27951,            0.048288,            0.010105,            0.034875,           0.0029996,           0.0029996,           0.0029996
                  79,            0.027742,            0.013671,           0.0033988,             0.70836,             0.54437,             0.61242,              0.2636,            0.048933,           0.0099806,             0.03325,           0.0029179,           0.0029179,           0.0029179
                  80,            0.026912,             0.01368,           0.0044847,             0.67162,             0.67305,             0.65361,             0.27749,            0.048594,            0.010472,            0.036261,           0.0028394,           0.0028394,           0.0028394
                  81,            0.027087,            0.013593,           0.0038566,             0.71976,              0.6288,             0.64757,             0.28126,            0.046629,              0.0105,            0.032419,           0.0027639,           0.0027639,           0.0027639
                  82,            0.027532,            0.013502,           0.0035889,             0.63355,             0.58517,             0.56164,             0.26427,             0.04466,            0.012581,            0.031351,           0.0026917,           0.0026917,           0.0026917
                  83,            0.027748,            0.013798,           0.0036543,             0.73201,             0.59129,             0.59453,             0.28468,            0.044646,            0.011261,            0.035192,           0.0026227,           0.0026227,           0.0026227
                  84,            0.027815,            0.013842,           0.0045199,             0.81237,             0.57195,             0.59994,             0.26784,             0.04867,            0.011367,            0.037894,            0.002557,            0.002557,            0.002557
                  85,             0.02595,            0.013968,           0.0029508,             0.74334,             0.57864,             0.60982,             0.26161,             0.04739,            0.011611,            0.034847,           0.0024948,           0.0024948,           0.0024948
                  86,            0.027442,            0.013507,           0.0035694,             0.74919,             0.62601,             0.64829,             0.27695,            0.048812,            0.011397,            0.033394,            0.002436,            0.002436,            0.002436
                  87,            0.027457,            0.013316,           0.0040128,             0.61378,              0.6834,             0.61571,              0.2826,            0.047583,            0.010718,              0.0368,           0.0023807,           0.0023807,           0.0023807
                  88,            0.026439,            0.013411,           0.0036157,             0.70089,             0.59508,             0.61262,             0.28052,            0.048406,            0.011154,            0.028887,            0.002329,            0.002329,            0.002329
                  89,            0.027107,            0.013666,           0.0032476,             0.71281,             0.53104,             0.58982,             0.27055,            0.046165,            0.011444,            0.030183,           0.0022809,           0.0022809,           0.0022809
                  90,            0.025368,            0.013398,            0.002533,             0.72734,             0.61372,             0.66797,               0.289,            0.048877,            0.011179,            0.032086,           0.0022365,           0.0022365,           0.0022365
                  91,            0.026347,            0.013051,            0.003889,             0.69217,             0.63069,              0.6621,             0.30087,            0.044268,             0.01134,            0.035576,           0.0021958,           0.0021958,           0.0021958
                  92,            0.026641,            0.013161,             0.00373,             0.75911,             0.61954,             0.66645,             0.31992,            0.044537,            0.011113,            0.039838,           0.0021588,           0.0021588,           0.0021588
                  93,            0.025964,            0.012455,           0.0022935,              0.5434,             0.68669,             0.60382,             0.29313,            0.046584,            0.011557,             0.03823,           0.0021257,           0.0021257,           0.0021257
                  94,            0.026661,            0.013261,            0.003213,             0.64676,             0.54774,              0.6071,             0.28232,            0.045507,            0.011339,            0.039572,           0.0020963,           0.0020963,           0.0020963
                  95,            0.025891,            0.013157,           0.0032473,              0.5965,             0.63569,             0.60575,             0.27063,            0.046459,              0.0114,            0.038008,           0.0020709,           0.0020709,           0.0020709
                  96,            0.025404,            0.013413,            0.002896,             0.70269,             0.53574,             0.61214,             0.28339,             0.04389,            0.011445,            0.033215,           0.0020492,           0.0020492,           0.0020492
                  97,            0.025265,            0.012355,           0.0042391,             0.58557,             0.58646,             0.61664,              0.2805,            0.044099,            0.011618,            0.031871,           0.0020315,           0.0020315,           0.0020315
                  98,             0.02569,            0.013622,           0.0025087,             0.66308,             0.56287,             0.63033,             0.30134,            0.044896,            0.011752,            0.030056,           0.0020178,           0.0020178,           0.0020178
                  99,             0.02439,            0.013256,           0.0026683,             0.71316,             0.58304,             0.63824,             0.29038,            0.045593,            0.011929,            0.031206,           0.0020079,           0.0020079,           0.0020079
